Wall time,Step,Value
1549195349.311823,56320,0.0
1549195424.531059,64000,0.0062500000931322575
1549196228.700462,145920,0.0062500000931322575
1549196302.459462,153600,0.0
1549196867.319684,212480,0.0062500000931322575
1549196891.916064,215040,0.0
1549198370.172184,366080,0.012500000186264515
1549199071.054526,437760,0.0062500000931322575
1549199166.327596,448000,0.0
1549200186.043604,552960,0.012500000186264515
1549200725.187343,609280,0.01875000074505806
1549201396.333929,678400,0.01875000074505806
1549203315.097837,875520,0.02500000037252903
1549203946.118258,939520,0.02500000037252903
1549204847.952555,1031680,0.07500000298023224
1549206163.746352,1167360,0.0625
1549207587.747517,1313280,0.07500000298023224
1549208502.389552,1408000,0.06875000149011612
1549208550.84361,1413120,0.125
1549208827.409369,1441280,0.11249999701976776
1549209438.330607,1505280,0.08124999701976776
1549210425.71118,1607680,0.06875000149011612
1549211223.315205,1689600,0.09375
1549211299.012193,1697280,0.125
1549211423.126025,1710080,0.13750000298023224
1549213262.746413,1899520,0.08749999850988388
1549213336.670935,1907200,0.10000000149011612
1549215079.289185,2086400,0.08124999701976776
1549215725.752755,2152960,0.11874999850988388
1549215926.235022,2173440,0.15625
1549216592.959284,2242560,0.16875000298023224
1549216762.373914,2260480,0.15000000596046448
1549216836.337477,2268160,0.11874999850988388
1549217204.246001,2306560,0.08749999850988388
1549217280.683538,2314240,0.08749999850988388
1549217923.1114,2380800,0.15000000596046448
1549219860.36489,2577920,0.13124999403953552
1549220677.910833,2662400,0.19374999403953552
1549221031.820565,2698240,0.14374999701976776
1549221437.282391,2739200,0.19374999403953552
1549221908.243698,2787840,0.16875000298023224
1549222976.56645,2897920,0.18125000596046448
1549224882.510645,3095040,0.26249998807907104
1549225009.086528,3107840,0.26249998807907104
1549225452.16943,3153920,0.29374998807907104
1549225797.198855,3189760,0.3187499940395355
1549226175.012637,3228160,0.2750000059604645
1549226604.551749,3271680,0.3062500059604645
1549227311.739113,3343360,0.26249998807907104
1549229036.031689,3520000,0.34375
1549230040.903589,3622400,0.39375001192092896
1549230163.224677,3635200,0.48124998807907104
1549234504.379434,4083200,0.518750011920929
1549235054.107486,4139520,0.518750011920929
1549235594.691175,4195840,0.4375
1549235990.303149,4236800,0.48124998807907104
1549237059.770828,4346880,0.5249999761581421
1549237551.767109,4398080,0.53125
1549238098.984873,4454400,0.518750011920929
1549239087.965808,4556800,0.46875
1549239162.878765,4564480,0.45625001192092896
1549239516.222128,4600320,0.48750001192092896
1549239815.154832,4631040,0.512499988079071
1549239891.962736,4638720,0.518750011920929
1549241185.341982,4771840,0.518750011920929
1549241415.962983,4794880,0.47836026549339294
1549241693.421592,4823040,0.625
1549242945.470755,4951040,0.5562499761581421
1549243095.393124,4966400,0.543749988079071
1549244028.919814,5061120,0.59375
