Wall time,Step,Value
1549195349.311924,56320,8.828810691833496
1549195424.531153,64000,8.6945161819458
1549196228.700544,145920,8.339860916137695
1549196302.459563,153600,8.352317810058594
1549196867.319826,212480,8.023797988891602
1549196891.916279,215040,8.01594066619873
1549198370.172278,366080,7.6528191566467285
1549199071.054641,437760,7.810208797454834
1549199166.327675,448000,7.627360820770264
1549200186.043715,552960,7.491469383239746
1549200725.187448,609280,7.4012131690979
1549201396.334135,678400,7.110143184661865
1549203315.09793,875520,7.116745948791504
1549203946.118364,939520,6.798515319824219
1549204847.952641,1031680,6.6597981452941895
1549206163.746447,1167360,6.3885064125061035
1549207587.747619,1313280,6.085028171539307
1549208502.390127,1408000,5.92678165435791
1549208550.843715,1413120,5.6962785720825195
1549208827.409482,1441280,6.202213764190674
1549209438.330735,1505280,6.24660587310791
1549210425.711314,1607680,5.979997634887695
1549211223.31532,1689600,5.9596052169799805
1549211299.012305,1697280,5.664863586425781
1549211423.126143,1710080,5.616693019866943
1549213262.746545,1899520,5.43910026550293
1549213336.671168,1907200,5.748852252960205
1549215079.289305,2086400,5.816032409667969
1549215725.75288,2152960,5.640861988067627
1549215926.235144,2173440,5.415631294250488
1549216592.959454,2242560,5.318570137023926
1549216762.374042,2260480,5.394702434539795
1549216836.337595,2268160,5.464353561401367
1549217204.246107,2306560,5.622725963592529
1549217280.683673,2314240,5.482782363891602
1549217923.111536,2380800,5.278283596038818
1549219860.365003,2577920,5.774705410003662
1549220677.910973,2662400,5.740865230560303
1549221031.820668,2698240,5.616360187530518
1549221437.282607,2739200,5.378020286560059
1549221908.243796,2787840,5.799682140350342
1549222976.566551,2897920,5.2819294929504395
1549224882.510759,3095040,5.163856029510498
1549225009.086624,3107840,5.094971656799316
1549225452.169512,3153920,4.7902374267578125
1549225797.198952,3189760,4.7650465965271
1549226175.012747,3228160,5.053418159484863
1549226604.551866,3271680,4.963676929473877
1549227311.739235,3343360,4.744102478027344
1549229036.0318,3520000,4.604001522064209
1549230040.903689,3622400,4.357246398925781
1549230163.224763,3635200,4.055260181427002
1549234504.379627,4083200,3.8010897636413574
1549235054.107582,4139520,3.7189719676971436
1549235594.691352,4195840,4.332991600036621
1549235990.30325,4236800,4.232672691345215
1549237059.770937,4346880,3.965000629425049
1549237551.767236,4398080,3.7983386516571045
1549238098.984967,4454400,3.9273324012756348
1549239087.965914,4556800,4.000046730041504
1549239162.878862,4564480,4.123412609100342
1549239516.222233,4600320,3.935002088546753
1549239815.154903,4631040,3.8273892402648926
1549239891.962839,4638720,3.6726245880126953
1549241185.342076,4771840,4.050051689147949
1549241415.963041,4794880,4.074833393096924
1549241693.421812,4823040,3.3791186809539795
1549242945.47087,4951040,3.681027889251709
1549243095.393226,4966400,3.6220412254333496
1549244028.919909,5061120,3.478189706802368
1549245156.272456,5176320,3.430161476135254
1549247318.069845,5396480,3.693100929260254
1549251809.097974,5857280,3.587191581726074
1549252335.334746,5911040,3.3418221473693848
1549254486.634333,6131200,3.9150192737579346
1549254937.715549,6177280,3.7170565128326416
1549256192.39238,6305280,3.382960796356201
1549257183.112689,6407680,3.4176485538482666
1549257629.058339,6453760,3.4879024028778076
1549258121.399192,6504960,3.3353428840637207
1549259214.422618,6617600,3.354419469833374
1549259267.364747,6622720,3.7107961177825928
1549259339.197079,6630400,3.474917411804199
1549259937.477801,6691840,3.035008430480957
